(*i).x    (*i).y    (*i).heading(*(i+1))    deg    (*i).yaw    deg-(*i).yaw
6447    2908    2.39809    137.4    189.5    127.9
6527    2821    2.41003    138.085    188.5    129.585
6606    2733    2.40378    137.726    189.5    128.226
6686    2645    2.41636    138.447    188.8    129.647
6764    2557    2.41135    138.16    188.5    129.66
6841    2471    2.39859    137.429    189.1    128.329
6920    2385    2.39809    137.4    189.4    128
7000    2298    2.41003    138.085    189.4    128.685
7079    2210    2.40435    137.759    189    128.759
7158    2123    2.40554    137.827    189.2    128.627
7235    2038    2.40019    137.521    189.2    128.321
7311    1955    2.41274    138.24    188.7    129.54
7386    1871    2.40678    137.899    188.4    129.499
7461    1788    2.40615    137.862    189.1    128.762
7537    1704    2.41274    138.24    188.9    129.34
7612    1620    2.39415    137.175    189.3    127.875
7688    1538    2.40322    137.694    189.6    128.094
7769    1449    2.4094    138.048    189    129.048
7849    1360    2.40019    137.521    189.5    128.021
7925    1277    2.4094    138.048    189    129.048
8005    1188    2.40378    137.726    189.3    128.426
8085    1100    2.4094    138.048    189.1    128.948
8165    1011    2.40615    137.862    188.8    129.062
8241    927    1.85032    106.015    190.5    95.5154
8349    896    1.02593    58.7816    250.6    11.8184
8448    956    0.623431    35.72    276.2    60.48
8512    1045    5.98595    342.97    322.6    159.63
8478    1156    5.65184    323.826    356.7    147.126
8410    1249    5.55037    318.013    7.2    130.813
8329    1339    5.53574    317.175    9.7    127.475
8253    1421    5.53307    317.021    9.9    127.121
8171    1509    5.55163    318.085    9.1    128.985
8092    1597    5.54594    317.759    9.4    128.359
8013    1684    5.54653    317.793    8.1    129.693
7935    1770    5.54071    317.459    9    128.459
7857    1855    5.54713    317.827    9.3    128.527
7780    1940    5.54653    317.793    8.9    128.893
7702    2026    5.54594    317.759    9.4    128.359
7623    2113    5.54594    317.759    8.9    128.859
7544    2200    5.54653    317.793    9.2    128.593
7466    2286    5.55228    318.122    8.8    129.322
7388    2373    5.54594    317.759    9    128.759
7309    2460    5.54019    317.429    9    128.429
7230    2546    5.54653    317.793    9.3    128.493
7152    2632    5.54713    317.827    9.3    128.527
7075    2717    5.54775    317.862    9    128.862
6999    2801    5.54124    317.49    9.1    128.39
