(*i).x    (*i).y    (*i).heading(*(i+1))    deg    (*i).yaw    deg-(*i).yaw
8036    2708    1.35674    77.7352    248.7    9.03523
8151    2733    1.36678    78.3106    249.3    9.01063
8267    2757    1.36505    78.2118    248.7    9.51182
8382    2781    1.35674    77.7352    249.1    8.63523
8497    2806    1.37014    78.5034    248.8    9.70344
8615    2830    1.36202    78.0379    248.4    9.63795
8733    2855    1.36029    77.9387    248.8    9.13869
8850    2880    1.36029    77.9387    249.1    8.83869
8967    2905    1.36678    78.3106    248.6    9.71063
9083    2929    1.36505    78.2118    249.1    9.11182
9198    2953    1.36678    78.3106    248.6    9.71063
9314    2977    1.35674    77.7352    248.9    8.83523
9429    3002    1.36505    78.2118    249    9.21182
9544    3026    1.3633    78.1113    248.7    9.41134
9658    3050    1.36152    78.0092    248.8    9.20917
9771    3074    1.3633    78.1113    249.2    8.91134
9885    3098    1.3633    78.1113    248.9    9.21134
9999    3122    1.35492    77.6309    249    8.63094
10113    3147    1.3734    78.6901    248.9    9.79007
10228    3170    1.36678    78.3106    248.2    10.1106
10344    3194    1.36029    77.9387    249    8.93869
10461    3219    1.37179    78.5975    248.9    9.69751
10580    3243    1.36029    77.9387    248.4    9.53869
10697    3268    1.36505    78.2118    248.8    9.41182
10812    3292    1.36505    78.2118    248.6    9.61182
10927    3316    1.36678    78.3106    248.8    9.51063
11043    3340    1.35853    77.8378    248.8    9.0378
11159    3365    1.36202    78.0379    248.6    9.43795
11277    3390    1.36372    78.1356    249    9.13561
11396    3415    1.36029    77.9387    248.7    9.23869
11513    3440    1.36505    78.2118    249    9.21182
11628    3464    1.35674    77.7352    249    8.73523
11743    3489    1.36505    78.2118    249    9.21182
11858    3513    1.3633    78.1113    248.8    9.31134
11972    3537    1.3597    77.9052    248.8    9.10524
12084    3561    1.36648    78.2936    248.8    9.49356
12195    3584    1.36826    78.3952    248.9    9.49524
12307    3607    1.35786    77.7995    248.8    8.99953
12418    3631    1.37    78.4952    248.9    9.59518
12531    3654    1.3597    77.9052    248.9    9.00524
12643    3678    1.3597    77.9052    248.9    9.00524
12755    3702    1.3633    78.1113    249.1    9.01134
12869    3726    1.35674    77.7352    249    8.73523
12984    3751    1.36505    78.2118    248.9    9.31182
13099    3775    1.3503    77.3666    249.1    8.26664
13215    3801    1.36029    77.9387    249.5    8.43869
13332    3826    1.36372    78.1356    248.7    9.43561
13451    3851    1.36029    77.9387    248.5    9.43869
13568    3876    1.36678    78.3106    248.9    9.41063
13684    3900    1.37    78.4952    248.9    9.59518
13797    3923    1.36029    77.9387    248.6    9.33869
13914    3948    1.3633    78.1113    248.3    9.81134
14028    3972    1.35786    77.7995    249    8.79953
14139    3996    1.3597    77.9052    249.3    8.60524
14251    4020    1.36152    78.0092    249    9.00917
14364    4044    1.3633    78.1113    248.9    9.21134
14478    4068    1.38016    79.0772    248.9    10.1772
14592    4090    2.02273    115.894    240.2    55.6936
14695    4040    2.78904    159.8    188.2    151.6
14734    3934    3.28836    188.409    153.2    144.791
14717    3819    3.98425    228.281    118.4    70.1191
14634    3745    4.50012    257.838    80.1    2.2622
14518    3720    4.57762    262.278    64.4    17.8782
14400    3704    4.54724    260.538    65.9    14.6377
14286    3685    4.53412    259.786    66.9    12.886
14175    3665    4.51338    258.598    67.7    10.8975
14056    3641    4.50361    258.038    69    9.03795
13938    3616    4.49277    257.417    69.5    7.91704
13826    3591    4.49945    257.8    69.2    8.59953
13715    3567    4.49757    257.692    69.3    8.39198
13605    3543    4.50188    257.939    69    8.93869
13488    3518    4.50012    257.838    69.4    8.4378
13372    3493    4.50188    257.939    69.4    8.53869
13255    3468    4.49552    257.574    68.9    8.67406
13137    3442    4.5013    257.905    69.1    8.80524
13025    3418    4.50985    258.395    69    9.39524
12913    3395    4.5013    257.905    69.1    8.80524
12801    3371    4.49945    257.8    69    8.79953
12690    3347    4.51174    258.503    68.9    9.60344
12572    3323    4.49945    257.8    68.5    9.29953
12461    3299    4.50311    258.009    69.2    8.80917
12348    3275    4.50665    258.212    69.1    9.11182
12233    3251    4.50665    258.212    69    9.21182
12118    3227    4.49833    257.735    69    8.73523
12003    3202    4.5013    257.905    69.1    8.80524
11891    3178    4.49757    257.692    69.2    8.49198
11781    3154    4.50361    258.038    69    9.03795
11663    3129    4.50188    257.939    69.1    8.83869
11546    3104    4.50361    258.038    68.6    9.43795
11428    3079    4.50807    258.294    68.9    9.39356
11317    3056    4.50188    257.939    68.8    9.13869
11200    3031    4.50361    258.038    69.5    8.53795
11082    3006    4.50188    257.939    68.6    9.33869
10965    2981    4.51007    258.408    68.8    9.60782
10848    2957    4.50012    257.838    69    8.8378
10732    2932    4.50532    258.136    69    9.13561
10613    2907    4.5013    257.905    69    8.90524
10501    2883    4.50985    258.395    69    9.39524
10389    2860    4.49466    257.525    69.1    8.42489
10276    2835    4.51159    258.495    68.3    10.1952
10163    2812    4.5201    258.983    68.6    10.3829
10050    2790    4.50489    258.111    68.8    9.31134
9936    2766    4.49833    257.735    69.2    8.53523
9821    2741    4.51159    258.495    68.7    9.79518
9708    2718    4.50361    258.038    68.7    9.33795
9590    2693    4.51174    258.503    68.3    10.2034
9472    2669    4.5013    257.905    69.2    8.70524
9360    2645    4.49945    257.8    68.6    9.19953
9249    2621    4.50627    258.19    69.1    9.09012
9139    2598    4.51174    258.503    68.9    9.60344
9021    2574    4.50361    258.038    68.6    9.43795
8903    2549    4.50361    258.038    68.6    9.43795
8785    2524    4.50188    257.939    68.9    9.03869
8668    2499    4.50807    258.294    68.8    9.49356
8557    2476    4.50012    257.838    68.8    9.0378
8441    2451    4.50012    257.838    69.4    8.4378
8325    2426    4.50188    257.939    69.1    8.83869
8208    2401    4.51673    258.789    68.5    10.2894
8097    2379    4.49086    257.307    68.9    8.40733
7986    2354    4.50985    258.395    69    9.39524
7874    2331    4.49757    257.692    69    8.69198
7764    2307    4.51665    258.785    68.8    9.98509
7648    2284    4.49372    257.471    68.6    8.87119
7531    2258    4.50807    258.294    69    9.29356
7420    2235    4.5013    257.905    69    8.90524
7308    2211    4.50985    258.395    69.2    9.19524
7196    2188    4.50807    258.294    68.6    9.69356
7085    2165    4.50361    258.038    68.9    9.13795
6967    2140    4.50012    257.838    69.1    8.7378
6851    2115    4.51007    258.408    68.9    9.50782
6734    2091    4.51673    258.789    68.7    10.0894
6623    2069    4.5013    257.905    68.8    9.10524
6511    2045    4.5013    257.905    69.3    8.60524
6399    2021    4.50807    258.294    68.7    9.59356
6288    1998    4.49372    257.471    69    8.47119
6171    1972    4.51174    258.503    69    9.50344
6053    1948    4.50311    258.009    68.6    9.40917
5940    1924    4.49757    257.692    69.2    8.49198
5830    1900    4.51673    258.789    68.8    9.98937
5719    1878    4.50807    258.294    68.3    9.99356
5608    1855    4.50627    258.19    68.7    9.49012
5498    1832    4.50837    258.311    68.9    9.41063
5382    1808    4.50665    258.212    69.3    8.91182
5267    1784    4.50837    258.311    68.6    9.71063
5151    1760    4.51499    258.69    69.3    9.39007
5036    1737    4.48815    257.152    69.6    7.5523
4922    1711    4.50311    258.009    69.7    8.30917
4809    1687    4.51499    258.69    68.7    9.99007
4694    1664    4.50361    258.038    68.6    9.43795
4576    1639    4.51174    258.503    68.7    9.80344
4458    1615    4.50665    258.212    68.8    9.41182
4343    1591    4.50012    257.838    69    8.8378
4227    1566    4.51007    258.408    68.7    9.70782
4110    1542    4.50188    257.939    68.9    9.03869
3993    1517    4.50837    258.311    68.4    9.91063
3877    1493    4.50665    258.212    69.4    8.81182
3762    1469    4.50489    258.111    68.7    9.41134
3648    1445    4.51159    258.495    68.8    9.69518
3535    1422    4.50311    258.009    68.9    9.10917
3422    1398    4.50489    258.111    68.9    9.21134
3308    1374    4.50188    257.939    68.8    9.13869
3191    1349    4.50627    258.19    69    9.19012
3081    1326    4.47378    256.329    69    7.32869
2970    1299    3.7659    215.77    80.8    45.0299
2903    1206    3.04455    174.44    134.5    140.06
2914    1093    2.54154    145.62    165.4    160.22
2979    998    1.81362    103.912    204.3    79.6125
3088    971    1.34071    76.817    241.8    15.017
3199    997    1.31525    75.3581    251.8    3.55812
3310    1026    1.3301    76.2091    251.1    5.10913
3420    1053    1.34732    77.1957    250    7.19573
3530    1078    1.35392    77.5741    249.5    8.07406
3648    1104    1.36202    78.0379    249.4    8.63795
3766    1129    1.36029    77.9387    249    8.93869
3883    1154    1.36847    78.4078    248.8    9.60782
4000    1178    1.36847    78.4078    248.8    9.60782
4117    1202    1.36505    78.2118    248.5    9.71182
4232    1226    1.36505    78.2118    248.6    9.61182
4347    1250    1.3633    78.1113    248.6    9.51134
4461    1274    1.36826    78.3952    249    9.39524
4573    1297    1.36826    78.3952    248.5    9.89524
4685    1320    1.36152    78.0092    248.9    9.10917
4798    1344    1.36826    78.3952    248.7    9.69524
4910    1367    1.37    78.4952    248.7    9.79518
5023    1390    1.37    78.4952    248.4    10.0952
5136    1413    1.35853    77.8378    248.8    9.0378
5252    1438    1.35853    77.8378    249.4    8.4378
5368    1463    1.36202    78.0379    249.3    8.73795
5486    1488    1.36029    77.9387    249.3    8.63869
5603    1513    1.36202    78.0379    249.1    8.93795
5721    1538    1.36029    77.9387    248.7    9.23869
5838    1563    1.36847    78.4078    249.2    9.20782
5955    1587    1.36847    78.4078    248.5    9.90782
6072    1611    1.36678    78.3106    248.5    9.81063
6188    1635    1.35674    77.7352    248.8    8.93523
6303    1660    1.35306    77.5249    249.9    7.62489
6416    1685    1.37    78.4952    248.6    9.89518
6529    1708    1.37    78.4952    248.4    10.0952
6642    1731    1.36826    78.3952    248.8    9.59524
6754    1754    1.35786    77.7995    248.9    8.89953
